time,open,high,low,close,VWAP,RTH VWAP,,,,,
9/12/2000,1.09065,1.09065,1.0856499999999998,1.0856499999999998,1.0873166666666665,,,,,,
9/13/2000,1.0891499999999998,1.08975,1.08765,1.08975,1.08905,,,,,,
9/15/2000,1.08415,1.08415,1.08415,1.08415,1.08415,,,,,,
9/18/2000,1.08415,1.08415,1.08015,1.08015,1.0814833333333331,,,,,,
9/19/2000,1.08415,1.08415,1.07615,1.0791499999999998,1.0798166666666666,,,,,,
9/20/2000,1.08415,1.08415,1.07215,1.0751499999999998,1.0771499999999998,,,,,,
9/21/2000,1.08415,1.08465,1.07215,1.08265,1.0798166666666666,,,,,,
9/22/2000,1.11415,1.11415,1.10615,1.11415,1.1114833333333334,,,,,,
9/25/2000,1.11415,1.11415,1.0991499999999998,1.1011499999999999,1.1048166666666666,,,,,,
9/26/2000,1.11415,1.11415,1.0991499999999998,1.10665,1.10665,,,,,,
9/27/2000,1.11415,1.11415,1.10665,1.10855,,,,,,,
9/28/2000,1.11415,1.11415,1.1096499999999998,1.1096499999999998,,,,,,,
9/29/2000,1.1096499999999998,1.1096499999999998,1.10265,1.1079499999999998,,,,,,,
10/2/2000,1.1079499999999998,1.1091499999999999,1.10615,1.10615,,,,,,,
10/3/2000,1.10615,1.1091499999999999,1.10065,1.10065,1.1034833333333331,,,,,,
10/4/2000,1.1016499999999998,1.1016499999999998,1.09965,1.1016499999999998,1.1009833333333332,,,,,,
10/5/2000,1.1016499999999998,1.1016499999999998,1.10065,1.10065,1.1009833333333332,,,,,,
10/6/2000,1.0951499999999998,1.09565,1.0934499999999998,1.0934499999999998,1.0941833333333333,,,,,,
10/10/2000,1.0951499999999998,1.09665,1.0934499999999998,1.09665,1.0955833333333331,,,,,,
10/11/2000,1.0951499999999998,1.0968499999999999,1.0951499999999998,1.0968499999999999,,,,,,,
10/12/2000,1.0951499999999998,1.0968499999999999,1.0881499999999997,1.0881499999999997,,,,,,,
10/13/2000,1.0951499999999998,1.0968499999999999,1.08015,1.08015,1.0857166666666664,,,,,,
10/16/2000,1.0736499999999998,1.07415,1.0736499999999998,1.0736499999999998,1.0738166666666664,,,,,,
10/17/2000,1.0736499999999998,1.0786499999999999,1.0736499999999998,1.0786499999999999,1.076983333333333,,,,,,
10/18/2000,1.05715,1.06215,1.05715,1.0576499999999998,1.0589833333333332,,,,,,
10/19/2000,1.05715,1.0671499999999998,1.05715,1.0671499999999998,1.0638166666666666,,,,,,
10/20/2000,1.0626499999999999,1.0658499999999997,1.0626499999999999,1.0626499999999999,1.0637166666666664,,,,,,
10/23/2000,1.0626499999999999,1.0654499999999998,1.0626499999999999,1.0654499999999998,1.0645166666666666,,,,,,
10/24/2000,1.0626499999999999,1.0626499999999999,1.0576499999999998,1.05965,1.059983333333333,,,,,,
10/25/2000,1.0526499999999999,1.0526499999999999,1.0506499999999999,1.0506499999999999,1.0513166666666667,,,,,,
10/26/2000,1.0526499999999999,1.0526499999999999,1.05035,1.05035,1.0511166666666665,,,,,,
10/27/2000,1.0526499999999999,1.0639499999999997,1.0526499999999999,1.0639499999999997,1.060183333333333,,,,,,
10/30/2000,1.0656499999999998,1.0656499999999998,1.0656499999999998,1.0656499999999998,1.0656499999999998,,,,,,
10/31/2000,1.07165,1.07215,1.0711499999999998,1.07125,1.0715166666666667,,,,,,
11/1/2000,1.08365,1.08365,1.07165,1.0719499999999997,1.07575,,,,,,
11/2/2000,1.08385,1.08385,1.08385,1.08385,,,,,,,
11/3/2000,1.08765,1.08865,1.08765,1.08765,,,,,,,
11/6/2000,1.0526499999999999,1.08865,1.0526499999999999,1.08235,,,,,,,
11/7/2000,1.0526499999999999,1.08465,1.0526499999999999,1.08365,,,,,,,
11/8/2000,1.0526499999999999,1.08465,1.0526499999999999,1.07815,,,,,,,
11/9/2000,1.0526499999999999,1.08615,1.0526499999999999,1.08615,,,,,,,
11/10/2000,1.0526499999999999,1.08615,1.0526499999999999,1.0856499999999998,,,,,,,
11/13/2000,1.08425,1.08425,1.08425,1.08425,,,,,,,
11/14/2000,1.0526499999999999,1.08115,1.0526499999999999,1.08115,,,,,,,
11/15/2000,1.0816499999999998,1.08215,1.07965,1.0797499999999998,,,,,,,
11/16/2000,1.0808499999999999,1.0808499999999999,1.0808499999999999,1.0808499999999999,,,,,,,
11/17/2000,1.0526499999999999,1.0808499999999999,1.0526499999999999,1.07215,,,,,,,
11/20/2000,1.0526499999999999,1.0711499999999998,1.0526499999999999,1.0711499999999998,1.0649833333333332,,,,,,
11/21/2000,1.07215,1.07215,1.06635,1.0686499999999999,1.0690499999999998,,,,,,
11/22/2000,1.07215,1.07215,1.0648499999999999,1.0673499999999998,1.0681166666666664,,,,,,
11/24/2000,1.0626499999999999,1.0627499999999999,1.0626499999999999,1.0627499999999999,1.0627166666666665,,,,,,
11/27/2000,1.0626499999999999,1.0736499999999998,1.0626499999999999,1.0736499999999998,1.069983333333333,,,,,,
11/28/2000,1.0626499999999999,1.0791499999999998,1.0626499999999999,1.0787499999999999,1.0735166666666667,,,,,,
11/29/2000,1.07835,1.08515,1.07835,1.08015,1.0812166666666665,,,,,,
11/30/2000,1.07835,1.09265,1.07835,1.09265,1.0878833333333333,,,,,,
12/1/2000,1.09265,1.1001499999999997,1.09265,1.09475,1.0958499999999998,,,,,,
12/4/2000,1.09475,1.11265,1.09475,1.1098499999999998,1.1057499999999998,,,,,,
12/5/2000,1.11265,1.11265,1.10465,1.10465,1.1073166666666665,,,,,,
12/6/2000,1.11265,1.11265,1.1032499999999998,1.1032499999999998,1.1063833333333333,,,,,,
12/7/2000,1.11265,1.1176499999999998,1.11185,1.11545,1.1149833333333332,,,,,,
12/8/2000,1.11545,1.1176499999999998,1.10785,1.10785,1.1111166666666665,,,,,,
12/11/2000,1.11545,1.1176499999999998,1.10065,1.10065,1.1063166666666666,,,,,,
12/12/2000,1.11545,1.11545,1.0995499999999998,1.0995499999999998,1.1048499999999999,,,,,,
12/13/2000,1.0995499999999998,1.0995499999999998,1.0976499999999998,1.0976499999999998,1.098283333333333,,,,,,
12/14/2000,1.0995499999999998,1.11075,1.0995499999999998,1.11075,1.1070166666666665,,,,,,
12/15/2000,1.11075,1.1211499999999999,1.11075,1.1191499999999999,1.1170166666666665,,,,,,
12/18/2000,1.1211499999999999,1.1211499999999999,1.1151499999999999,1.1151499999999999,1.1171499999999999,,,,,,
12/20/2000,1.1182499999999997,1.12865,1.11185,1.1271499999999999,1.12255,,,,,,
12/21/2000,1.1182499999999997,1.13665,1.1182499999999997,1.1331499999999999,1.1293499999999999,,,,,,
12/22/2000,1.1352499999999999,1.14575,1.1331499999999999,1.14465,1.1411833333333334,,,,,,
12/26/2000,1.1352499999999999,1.15055,1.1352499999999999,1.15055,1.14545,,,,,,
12/27/2000,1.15035,1.1525499999999997,1.15035,1.15095,1.1512833333333332,,,,,,
12/29/2000,1.1517499999999998,1.1517499999999998,1.1496499999999998,1.1496499999999998,1.1503499999999998,,,,,,
1/2/2001,1.1517499999999998,1.17015,1.1517499999999998,1.1673499999999999,1.1630833333333332,,,,,,
1/3/2001,1.16025,1.1738499999999998,1.15115,1.1698499999999998,1.16495,,,,,,
1/4/2001,1.1698499999999998,1.1700499999999998,1.1641499999999998,1.16885,1.1676833333333332,,,,,,
1/5/2001,1.1654499999999999,1.17625,1.1654499999999999,1.1759499999999998,1.17255,,,,,,
1/8/2001,1.16995,1.17625,1.16715,1.1683499999999998,1.1705833333333333,,,,,,
1/9/2001,1.16995,1.16995,1.1586499999999997,1.15895,1.1625166666666666,,,,,,
1/10/2001,1.15895,1.16115,1.15725,1.1576499999999998,1.158683333333333,,,,,,
1/11/2001,1.15895,1.17295,1.15895,1.1714499999999999,1.1677833333333334,,,,,,
1/12/2001,1.16865,1.1706499999999997,1.1660499999999998,1.1666499999999997,1.1677833333333332,,,,,,
